scene,chapter,beat,tension_target,tension_actual,note
s-001,ch-01,"setup",6,6,"Intake ceremony establishes stakes and the counting theme; Rue commits to the Academy under a ten-year Contract."
s-002,ch-01,"turn",5,4,"Dorm induction micro-scene introduces daily practices and discipline; reduces ceremonial duplication from Hall by moving small rituals into dorm."
s-003,ch-01,"development",6,5,"Apprenticeship continues; this scene develops Rue's skills and her indebtedness via tacit tallies; tension is steady and building."
s-004,ch-01,"complication",7,6,"Close-up on Rue's interior life and loyalties; small kindnesses and micro-violence complicate Rue's acceptance of the Academy. Tension increased slightly."
s-005,ch-02,"exposition",5,4,"Headmistress meeting exposes institutional rhetoric and the formal framing of the Binding Seal and margin records; tension is low but leaves Rue unsettled."
s-006,ch-02,"turn",7,6,"Ceremony marks a year close and marks Rue's shift into responsibility as she takes apprentices; tension rises modestly as obligations expand."
s-007,ch-02,"complication",8,7,"Discovery of Folio discrepancy increases narrative tension: Rue learns to look for erased/quietly altered margins; institutional evasions continue."
s-008,ch-02,"turn",9,8,"Discovery of explicit marginal 'tethering' raises stakes: a concrete hint that Contracts contain binding clauses with ledger consequences; Rue's moral fog thickens and her curiosity turns toward institutional scrutiny."
s-009,ch-03,"development",5,5,"Long montage showing institutional continuity and Rue's rising authority; tension steady but cumulative."
s-010,ch-03,"turn",9,8,"External pressure arrives: the War Envoy's notice introduces an immediate deadline and practical administrative shift; tension rises markedly."
s-011,ch-03,"turn",9,8,"Negotiations intensify the stakes and present a policy choice: shelter versus conscription; practical measures begin in the Hall with lists and inventories; tension rises."
s-012,ch-03,"turn",9,8,"Elaine's testimony complicates the Headmistress's rhetoric and exposes external ledgers; institutional defenses reorganise, and moral stakes deepen."
s-013,ch-04,"turn",9,8,"Headmistress's civic pledge forces a public bargain and deepens the split between those trusting ledgers and those fearing them; stakes raise and institutional friction grows."
s-014,ch-04,"crisis",9,9,"Siege scene: the house moves from debate to action; emergency procedures and civic pledge are enacted and the Folio records sheltering; stakes high and sustaining the siege shapes the next arc."
s-015,ch-04,"revelation",9,9,"Moment of revelation: marginalia in the Folio reveal external exchanges and complicate the Academy's narrative; moral stakes deepen and institutional scrutiny begins."
s-016,ch-04,"decision",9,9,"Rue's guarantor proposal turns debate into procedural action: a ledgered, witnessed path is created to contest sponsorship claims; stakes recalibrate and the story moves toward counsel and petition."
s-017,ch-05,"aftermath",6,6,"Aftermath of council: provisional releases change the island's rhythms; Rue's life shifts to guarantor duties and record-keeping; the Academy's ledger gains a new column with long-term consequences."
