scene,chapter,beat,tension_target,tension_actual,note
s-001,ch-01,"complication",6,6,"reinforces the haunting complication with sensory detail and ritual diagnostic; tension sustained"
s-002,ch-01,"turn",7,7,"Scene deepens the investigation: Mercy confirms imprint markers and finds a photograph suggesting a wartime loss; the Elder frames the problem as a communal memory rather than a household haunting."
s-003,ch-01,"setup+turn",7,7,"Scene sets up controlled permission to search the locked room and shows cost and risks of naming; it also records Mercy's sensory injury after the rite and her decision to proceed to the yard next."
s-004,ch-01,"complication",8,8,"Scene escalates the haunting: Mercy recovers an anchor object (bloodstained cloth) linking the yard to the shrine and the presence; community reaction increases tensions."
s-005,ch-02,"turn",7,7,"Scene turns the investigation toward archival work: plan to cross-reference the scroll with ledgers/newspapers and gather witnesses; cost of naming emphasized."
s-006,ch-02,"complication",8,8,"Scene shows the commune splitting into action and caution; Mercy sets boundaries and decides to monitor; the spirit escalates to near-violence during debate."
s-007,ch-02,"investigation",7,7,"Scene moves the investigation into the market: Mercy acquires a new token (family photo) that tightens the spirit's focus and becomes an investigatory hinge; tension rises as the spirit narrows its attention."
s-008,ch-02,"complication",8,8,"Controlled rite failed to resolve the presence; mercy paid a canonical cost and communal confidence was reduced; the spirit shifted closer to a personal claim."
s-009,ch-03,"investigation",6,6,"Scene advances the archival investigation: Mercy transcribes ledger fragments and receives the orderly's counsel on gentle interviewing; builds evidence for triangulation with ledgers/scrolls/photos."
s-010,ch-03,"setup/turn",7,7,"Scene turns investigation into field mapping with testimony; stakes rise as spirit focuses on stairwell; plan set for follow-up at first light."
s-011,ch-03,"complication",8,8,"Find of physical artifacts in yard escalates investigation, provides tangible evidence and increases communal burden; Mercy's ritual cost occurs during recovery."
s-012,ch-03,"turn",8,8,"Scene turns from placation to a new plan: witnessed, accounted naming; community split increases stakes; Mercy's mediation role clarifies."
s-014,ch-04,"setup",7,7,"Scene sets up the witnessed naming ritual: scroll fragments read at breadcrumb, witness list initiated, plan for offerings and two witnesses per memory, naming scheduled for first light."
s-015,ch-04,"climax",9,9,"Final costly witnessed naming ritual and Mercy's sacrifice; spirit reorganises; community begins process of holding names; Mercy loses a private memory (state changed). Tension_actual: 9, tension_target: 9"
